"classe","ordem","familia","genero","nome_cientifico","nome_cientifico_anterior","nome_comum","categoria","criterio"
"Mammalia","Primates","Callitrichidae","Callithrix","Callithrix geoffroyi","Callithrix geoffroyi","Sagui-da-cara-branca","Menos Preocupante",NA
"Mammalia","Primates","Callitrichidae","Callithrix","Callithrix jacchus","Callithrix jacchus","mico, mico-estrela, nico, sagui, sagui-comum, sagui-de-tufo-branco, Sagui-do-nordeste","Menos Preocupante",NA
"Mammalia","Primates","Callitrichidae","Saguinus","Saguinus inustus","Saguinus inustus","Sagui","Menos Preocupante",NA
"Mammalia","Primates","Callitrichidae","Saguinus","Saguinus labiatus","Saguinus labiatus labiatus","Sagui-de-boca-branca","Menos Preocupante",NA
"Mammalia","Primates","Callitrichidae","Saguinus","Saguinus martinsi","Saguinus martinsi martinsi","Morceguinho (rio Nhamundá), Sauim","Menos Preocupante",NA
"Mammalia","Primates","Callitrichidae","Saguinus","Saguinus midas","Saguinus midas","Sagui-da-mão-dourada","Menos Preocupante",NA
"Mammalia","Primates","Pitheciidae","Chiropotes","Chiropotes albinasus","Chiropotes albinasus","Cuxiú-de-nariz-vermelho","Menos Preocupante",NA
"Mammalia","Primates","Pitheciidae","Callicebus","Callicebus brunneus",NA,"Zogue-zogue","Quase Ameaçada",NA
"Mammalia","Primates","Pitheciidae","Plecturocebus","Plecturocebus cupreus","Callicebus cupreus","Zogue-zogue","Menos Preocupante",NA
"Mammalia","Primates","Pitheciidae","Plecturocebus","Plecturocebus donacophilus","Callicebus donacophilus","Boca d’água, guigó, sauá, zogue-zogue","Não Aplicável",NA
"Mammalia","Primates","Pitheciidae","Cheracebus","Cheracebus purinus","Callicebus purinus","sauá-de-colar, Zogue-zogue","Menos Preocupante",NA
"Mammalia","Primates","Pitheciidae","Pithecia","Pithecia chrysocephala","Pithecia pithecia chrysocephala","Parauacu-da-cara-branca","Menos Preocupante",NA
"Mammalia","Primates","Cebidae","Pithecia","Pithecia pithecia","Pithecia pithecia pithecia","Parauacu-da-cara-branca","Menos Preocupante",NA
"Mammalia","Primates","Callitrichidae","Leontopithecus","Leontopithecus caissara","Leontopithecus caissara","Mico-leão-da-cara-preta","Em Perigo","C2a(i); D"
"Mammalia","Primates","Callitrichidae","Leontopithecus","Leontopithecus chrysopygus","Leontopithecus chrysopygus","Mico-leão-preto, Sauim-preto","Em Perigo","B2ab(ii,iii,v)"
"Mammalia","Primates","Callitrichidae","Leontopithecus","Leontopithecus rosalia",NA,"Mico-leão-dourado, Sauim-piranga","Em Perigo","B2ab(iii)"
"Mammalia","Primates","Cebidae","Sapajus","Sapajus libidinosus",NA,"Macaco-prego, Macaco-prego-amarelo","Quase Ameaçada",NA
"Mammalia","Primates","Cebidae","Sapajus","Sapajus nigritus","Sapajus nigritus nigritus","Macaco-prego, mico","Quase Ameaçada",NA
"Mammalia","Primates","Cebidae","Cebus","Cebus olivaceus","Cebus olivaceus castaneus","Caiarara, Cairara, Macaco-prego","Menos Preocupante",NA
"Mammalia","Didelphimorphia","Didelphidae","Metachirus","Metachirus myosuros",NA,"Cuíca-cauda-de-rato","Menos Preocupante",NA
"Mammalia","Primates","Callitrichidae","Mico","Mico munduruku",NA,"sagui-dos-Munduruku","Menos Preocupante",NA
"Mammalia","Didelphimorphia","Didelphidae","Gracilinanus","Gracilinanus peruanus",NA,NA,"Menos Preocupante",NA
"Mammalia","Primates","Callitrichidae","Cebuella","Cebuella pygmaea","Cebuella pygmaea pygmaea","Mico-leãozinho, Sagui-leãozinho, Sagui-pigmeu","Menos Preocupante",NA
"Mammalia","Primates","Atelidae","Alouatta","Alouatta seniculus",NA,"Bugio-vermelho, Guariba-vermelho","Menos Preocupante",NA
"Mammalia","Rodentia","Erethizontidae","Coendou","Coendou ichillus",NA,"Coandu-pigmeu","Menos Preocupante",NA
"Mammalia","Cetartiodactyla","Cervidae","Mazama","Mazama jucunda","Mazama bororo","Veado-bororó de São Paulo, Veado-mateiro-pequeno, Veado-vermelho","Quase Ameaçada",NA
"Mammalia","Cetartiodactyla","Cervidae","Mazama","Mazama nemorivaga","Mazama nemorivaga","Fuboca, Veado-branco, Veado-da-amazônia, Veado-roxo","Dados Insuficientes",NA
"Mammalia","Cetartiodactyla","Cervidae","Ozotoceros","Ozotoceros bezoarticus",NA,"Veado-branco, Veado-campeiro, Veado-galheiro","Menos Preocupante",NA
"Mammalia","Cetartiodactyla","Tayassuidae","Pecari","Pecari tajacu","Pecari tajacu","Caititu, Cateto","Menos Preocupante",NA
"Mammalia","Cetartiodactyla","Tayassuidae","Tayassu","Tayassu pecari","Tayassu pecari","Queixada","Vulnerável","A4cd"
"Aves","Galliformes","Cracidae","Aburria","Aburria cumanensis","Aburria cumanensis","cajubi, cujubi-de-barbela-fina, cujubim, jacutinga, jacutinga-de-garganta-azul","Menos Preocupante",NA
"Aves","Tinamiformes","Tinamidae","Tinamus","Tinamus major","Tinamus major","inhambu-de-cabeça-vermelha","Menos Preocupante",NA
"Aves","Tinamiformes","Tinamidae","Crypturellus","Crypturellus erythropus","Crypturellus erythropus","inhambu-de-perna-vermelha","Menos Preocupante",NA
"Aves","Tinamiformes","Tinamidae","Crypturellus","Crypturellus bartletti","Crypturellus bartletti","inhambu-anhangaí","Menos Preocupante",NA
"Aves","Galliformes","Cracidae","Penelope","Penelope marail","Penelope marail","jacumirim","Menos Preocupante",NA
"Aves","Gruiformes","Psophiidae","Psophia","Psophia crepitans","Psophia crepitans","jacamim-de-costas-cinzentas","Menos Preocupante",NA
"Mammalia","Carnivora","Felidae","Leopardus","Leopardus geoffroyi","Leopardus geoffroyi","Gato-do-mato, Gato-do-mato-grande","Vulnerável","A4de"
"Mammalia","Carnivora","Felidae","Leopardus","Leopardus guttulus",NA,"Gato-do-mato","Vulnerável","C1"
"Mammalia","Carnivora","Mustelidae","Lontra","Lontra longicaudis","Lontra longicaudis","lobinho-de-rio, Lontra, lontra neotropical, lontrinha","Menos Preocupante",NA
"Mammalia","Carnivora","Procyonidae","Potos","Potos flavus","Potos flavus","gatiara, janaú, jupará, Jupará, jurupará e macaco da noite por gogó-de-sola, macaco-janauí/janauaí/januí e miru-miru","Menos Preocupante",NA
"Mammalia","Carnivora","Procyonidae","Procyon","Procyon cancrivorus","Procyon cancrivorus","cachorrinho-guaxinim, cachorro-do-mato-guaxinim, cangrejera, guará, Guaxinim, jaracambeva, mão pelada, mapache lavador, mayuato, meia-noite","Menos Preocupante",NA
"Mammalia","Carnivora","Mustelidae","Pteronura","Pteronura brasiliensis",NA,"Ariranha, lontra gigante, onça-d’água","Vulnerável","A3cd"
"Aves","Tinamiformes","Tinamidae","Nothura","Nothura maculosa","Nothura maculosa","codorna-amarela","Menos Preocupante",NA
"Aves","Galliformes","Cracidae","Ortalis","Ortalis superciliaris","Ortalis superciliaris","aracuã-de-sobrancelhas","Menos Preocupante",NA
"Aves","Galliformes","Cracidae","Penelope","Penelope ochrogaster","Penelope ochrogaster","jacu-de-barriga-castanha","Quase Ameaçada",NA
"Mammalia","Cetartiodactyla","Cervidae","Ozotoceros","Ozotoceros bezoarticus bezoarticus","Ozotoceros bezoarticus bezoarticus","Veado-campeiro; Veado-branco; Veado-galheiro","Vulnerável","A2c"
"Mammalia","Pilosa","Myrmecophagidae","Myrmecophaga","Myrmecophaga tridactyla",NA,"bandeira, Bandurra, Jurumi, jurumim, Papa-formigas, tamanduá-açú, Tamanduá-bandeira","Vulnerável","A2c"
"Mammalia","Pilosa","Megalonychidae","Choloepus","Choloepus didactylus","Choloepus didactylus","Preguiça-real, Unau","Menos Preocupante",NA
"Mammalia","Pilosa","Bradypodidae","Bradypus","Bradypus variegatus","Bradypus variegatus","Preguiça-comum, Preguiça-de-bentinho, Preguiça-de-óculos, Preguiça-marmota","Menos Preocupante",NA
"Mammalia","Cingulata","Dasypodidae","Dasypus","Dasypus novemcinctus","Dasypus novemcinctus","Tatu-asa-branca, Tatuetê, Tatu-folha, Tatu-galinha, Tatu-nove-bandas, Tatu-veado, Tatu-verdadeiro","Menos Preocupante",NA
"Mammalia","Pilosa","Cyclopedidae","Cyclopes","Cyclopes ida",NA,"Tamanduaí","Menos Preocupante",NA
"Mammalia","Cingulata","Dasypodidae","Dasypus","Dasypus beniensis",NA,"Tatu-quinze-quilos","Menos Preocupante",NA
"Mammalia","Didelphimorphia","Didelphidae","Cryptonanus","Cryptonanus guahybae","Cryptonanus guahybae","Catita, Guaiquica","Menos Preocupante",NA
